127.0.0.1 - - [03/Feb/2016:12:25:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:25:10 +0530] "GET /Demo/navigation.html HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:25:10 +0530] "GET /Demo/styles.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:25:10 +0530] "GET /Demo/script.js HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:25:41 +0530] "GET /Demo/navigation.html HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:25:41 +0530] "GET /Demo/styles.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:25:41 +0530] "GET /Demo/script.js HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:25:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:25:44 +0530] "GET /Demo/styles.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:28:55 +0530] "GET /Demo/navigation.html HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:28:55 +0530] "GET /Demo/styles.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [03/Feb/2016:12:28:55 +0530] "GET /Demo/script.js HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [03/Feb/2016:13:58:41 +0530] "GET /Demo/navigation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2016:13:58:41 +0530] "GET /Demo/styles.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [03/Feb/2016:13:58:41 +0530] "GET /Demo/script.js HTTP/1.1" 404 1022
