127.0.0.1 - - [15/Mar/2016:17:00:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:00:12 +0530] "GET /Demo/hover.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:00:12 +0530] "GET /Demo/deadpool-promopic-2.jpg HTTP/1.1" 200 31411
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:00:21 +0530] "GET /Demo/hover.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:00:21 +0530] "GET /Demo/deadpool-promopic-2.jpg HTTP/1.1" 200 31411
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:00:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:00:33 +0530] "GET /Demo/hover.html HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:00:33 +0530] "GET /Demo/deadpool-promopic-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:05:36 +0530] "GET /Demo/hover.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:05:36 +0530] "GET /Demo/CSS/jquery.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:05:36 +0530] "GET /Demo/CSS/jquery.hover3d.js HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:05:36 +0530] "GET /Demo/deadpool-promopic-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:05:47 +0530] "GET /Demo/hover.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:05:47 +0530] "GET /Demo/CSS/jquery.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:05:47 +0530] "GET /Demo/CSS/jquery.hover3d.js HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:05:47 +0530] "GET /Demo/deadpool-promopic-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:06:36 +0530] "GET /Demo/hover.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:06:36 +0530] "GET /Demo/deadpool-promopic-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:10:50 +0530] "GET /Demo/hover.html HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:10:50 +0530] "GET /Demo/CSS/jquery.hover3d.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:10:55 +0530] "GET /Demo/CSS/jquery.min.map HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:11:14 +0530] "GET /Demo/CSS/jquery.min.map HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:11:17 +0530] "GET /Demo/hover.html HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:11:17 +0530] "GET /Demo/CSS/jquery.min.map HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:11:36 +0530] "GET /Demo/hover.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [15/Mar/2016:17:11:36 +0530] "GET /Demo/CSS/jquery.min.map HTTP/1.1" 404 1040
