127.0.0.1 - - [26/Apr/2016:11:00:21 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:00:22 +0530] "GET /Demo/navigation.html HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:00:22 +0530] "GET /Demo/styles.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:00:22 +0530] "GET /Demo/script.js HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:00:31 +0530] "GET /Demo/navigation.html HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:00:31 +0530] "GET /Demo/styles.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:00:31 +0530] "GET /Demo/script.js HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:00:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:01:56 +0530] "GET /Demo/navigation.html HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:01:56 +0530] "GET /Demo/styles.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:01:56 +0530] "GET /Demo/script.js HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:18:48 +0530] "GET /Demo/navigation.html HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:18:48 +0530] "GET /Demo/styles.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [26/Apr/2016:11:18:48 +0530] "GET /Demo/script.js HTTP/1.1" 404 1022
